#nodeA	nodeB	score1
ABL1(25)	BIN1(274)	0
ABL1(25)	ATM(472)	0
ABL1(25)	BCR(613)	0
ABL1(25)	BRCA1(672)	0
ABL1(25)	BTK(695)	0
ABL1(25)	CASP9(842)	0
ABL1(25)	CD19(930)	0
ABL1(25)	CDC2(983)	0
ABL1(25)	CDK5(1020)	0
ABL1(25)	CRK(1398)	0
ABL1(25)	CRKL(1399)	0
ABL1(25)	CTNND2(1501)	0
ABL1(25)	DOK1(1796)	0
ABL1(25)	EPHB2(2048)	0
ABL1(25)	XRCC6(2547)	0
ABL1(25)	GRB2(2885)	0
ABL1(25)	HCK(3055)	0
ABL1(25)	INPPL1(3636)	0
ABL1(25)	JAK1(3716)	0
ABL1(25)	JAK2(3717)	0
ABL1(25)	JUN(3725)	0
ABL1(25)	KIT(3815)	0
ABL1(25)	MDM2(4193)	0
ABL1(25)	NCK1(4690)	0
ABL1(25)	PAK2(5062)	0
ABL1(25)	PIK3R1(5295)	0
ABL1(25)	PLSCR1(5359)	0
ABL1(25)	PRKD1(5587)	0
ABL1(25)	PRKDC(5591)	0
ABL1(25)	PTPN6(5777)	0
ABL1(25)	RAD9A(5883)	0
ABL1(25)	RAD51(5888)	0
ABL1(25)	RAD52(5893)	0
ABL1(25)	RAN(5901)	0
ABL1(25)	RASA1(5921)	0
ABL1(25)	RB1(5925)	0
ABL1(25)	RFX1(5989)	0
ABL1(25)	ROS1(6098)	0
ABL1(25)	SH3BP2(6452)	0
ABL1(25)	ST5(6764)	0
ABL1(25)	TP53(7157)	0
ABL1(25)	TRAF6(7189)	0
ABL1(25)	ZAP70(7535)	0
ABL1(25)	PSTPIP1(9051)	0
ABL1(25)	MAP4K1(11184)	0
ABL1(25)	PTPN18(26469)	0
ABL1(25)	PAG1(55824)	0
ABL1(25)	DOK3(79930)	0
ABL1(25)	YTHDC1(91746)	0
ACPP(55)	ERBB2(2064)	0
ACTG1(71)	CYBB(1536)	0
ACTG1(71)	DNASE1(1773)	0
ACTG1(71)	FPR1(2357)	0
ACTG1(71)	LSP1(4046)	0
ACTG1(71)	NCF1(4687)	0
ACTG1(71)	PFN2(5217)	0
ACTG1(71)	PTPRO(5800)	0
ACTG1(71)	VASP(7408)	0
ACTG1(71)	TMSB4Y(9087)	0
ACTG1(71)	ATF7IP(55729)	0
ACTN1(87)	CDK5(1020)	0
ACTN1(87)	CTNNA1(1495)	0
ACTN1(87)	FBP1(2203)	0
ACTN1(87)	LPP(4026)	0
ACTN1(87)	PKD1(5310)	0
ACTN1(87)	PKN1(5585)	0
ACTN1(87)	PTK2(5747)	0
ACTN1(87)	PTPN6(5777)	0
ACTN1(87)	TTN(7273)	0
ACTN1(87)	VCL(7414)	0
ACTN1(87)	XRCC4(7518)	0
ACTN1(87)	CSRP3(8048)	0
ADD1(118)	ADD2(119)	0
ADD1(118)	ATP1A1(476)	0
ADD1(118)	CALM1(801)	0
ADD1(118)	CASP3(836)	0
ADD1(118)	ID2(3398)	0
ADD1(118)	ID3(3399)	0
ADD1(118)	PRKACA(5566)	0
ADD1(118)	PRKCD(5580)	0
ADD1(118)	ROCK1(6093)	0
ADD1(118)	SPTA1(6708)	0
ADD1(118)	SPTB(6710)	0
ADD2(119)	CALM1(801)	0
ADD2(119)	FYN(2534)	0
ADD2(119)	PRKACA(5566)	0
ADD2(119)	PRKCD(5580)	0
ADD2(119)	PTPRZ1(5803)	0
ADM(133)	EDN1(1906)	0
ADM(133)	MME(4311)	0
ADA(100)	DPP4(1803)	0
ADA(100)	GRB2(2885)	0
ADA(100)	NR3C1(2908)	0
PARP1(142)	BCL2(596)	0
PARP1(142)	CASP1(834)	0
PARP1(142)	CDKN1A(1026)	0
PARP1(142)	CENPA(1058)	0
PARP1(142)	CENPB(1059)	0
PARP1(142)	CTSG(1511)	0
PARP1(142)	ERCC6(2074)	0
PARP1(142)	GZMB(3002)	0
PARP1(142)	MYBL2(4605)	0
PARP1(142)	NFKB1(4790)	0
PARP1(142)	PCNA(5111)	0
PARP1(142)	POU2F1(5451)	0
PARP1(142)	PRKDC(5591)	0
PARP1(142)	RARA(5914)	0
PARP1(142)	RELA(5970)	0
PARP1(142)	RXRA(6256)	0
PARP1(142)	TP53(7157)	0
PARP1(142)	WRN(7486)	0
PARP1(142)	XRCC1(7515)	0
PARP1(142)	XRCC5(7520)	0
PARP1(142)	BUB3(9184)	0
PARP1(142)	SWAP70(23075)	0
PARP1(142)	APTX(54840)	0
PARP1(142)	SFRS12(140890)	0
ADRA2A(150)	ADRBK1(156)	0
ADRA2A(150)	EIF2B1(1967)	0
ADRA2A(150)	GNAI1(2770)	0
ADRA2A(150)	GNAI2(2771)	0
ADRA2A(150)	GNAO1(2775)	0
ADRA2A(150)	PRKCD(5580)	0
ADRB2(154)	ARR3(407)	0
ADRB2(154)	CSK(1445)	0
ADRB2(154)	EIF2B1(1967)	0
ADRB2(154)	GNA11(2767)	0
ADRB2(154)	GRK5(2869)	0
ADRB2(154)	GRB2(2885)	0
ADRB2(154)	IL1B(3553)	0
ADRB2(154)	INSR(3643)	0
ADRB2(154)	PRKCD(5580)	0
ADRB2(154)	SLC9A3R2(9351)	0
